Price,Close,High,Low,Open,Volume
Ticker,BRITANNIA.NS,BRITANNIA.NS,BRITANNIA.NS,BRITANNIA.NS,BRITANNIA.NS
Datetime,,,,,
2026-02-23 03:45:00+00:00,6114.5,6117.5,6069.5,6100.0,3053
2026-02-23 04:00:00+00:00,6113.0,6117.5,6094.5,6114.5,8766
2026-02-23 04:15:00+00:00,6092.5,6129.0,6086.5,6113.0,9008
2026-02-23 04:30:00+00:00,6089.0,6094.5,6079.5,6092.0,5369
2026-02-23 04:45:00+00:00,6094.0,6094.0,6080.0,6091.5,3518
2026-02-23 05:00:00+00:00,6085.5,6102.0,6085.5,6092.0,3905
2026-02-23 05:15:00+00:00,6066.5,6089.0,6058.5,6089.0,7960
2026-02-23 05:30:00+00:00,6060.0,6071.5,6049.5,6067.5,6097
2026-02-23 05:45:00+00:00,6049.5,6059.5,6042.0,6057.5,7931
2026-02-23 06:00:00+00:00,6057.0,6061.0,6047.5,6049.5,8344
2026-02-23 06:15:00+00:00,6065.0,6065.0,6045.0,6056.0,5938
2026-02-23 06:30:00+00:00,6083.0,6090.5,6060.0,6063.0,11214
2026-02-23 06:45:00+00:00,6100.0,6101.0,6070.5,6083.5,28842
2026-02-23 07:00:00+00:00,6105.5,6109.0,6087.0,6100.0,8145
2026-02-23 07:15:00+00:00,6091.0,6108.0,6085.5,6103.0,8329
2026-02-23 07:30:00+00:00,6094.0,6099.0,6077.0,6091.5,17004
2026-02-23 07:45:00+00:00,6118.0,6120.0,6092.5,6093.0,7419
2026-02-23 08:00:00+00:00,6117.5,6120.0,6102.5,6118.0,6126
2026-02-23 08:15:00+00:00,6112.0,6122.5,6109.0,6115.5,5830
2026-02-23 08:30:00+00:00,6114.0,6119.5,6105.0,6114.5,3779
2026-02-23 08:45:00+00:00,6110.0,6117.5,6107.0,6114.0,3485
2026-02-23 09:00:00+00:00,6090.0,6112.5,6086.0,6110.5,6629
2026-02-23 09:15:00+00:00,6107.5,6109.5,6090.0,6090.0,4822
2026-02-23 09:30:00+00:00,6125.0,6133.0,6111.5,6111.5,18808
2026-02-23 09:45:00+00:00,6122.5,6132.0,6091.5,6126.0,19113
2026-02-24 03:45:00+00:00,6093.0,6103.0,6070.5,6083.5,4914
2026-02-24 04:00:00+00:00,6101.0,6107.0,6091.0,6091.5,4017
2026-02-24 04:15:00+00:00,6109.0,6114.0,6099.5,6101.0,2700
2026-02-24 04:30:00+00:00,6135.0,6137.5,6112.5,6115.5,3172
2026-02-24 04:45:00+00:00,6134.0,6142.0,6126.0,6134.0,6278
2026-02-24 05:00:00+00:00,6124.0,6149.0,6124.0,6135.0,6821
2026-02-24 05:15:00+00:00,6123.0,6131.0,6113.0,6126.0,8147
2026-02-24 05:30:00+00:00,6129.0,6132.0,6119.0,6120.5,4818
2026-02-24 05:45:00+00:00,6139.5,6139.5,6129.0,6129.0,2993
2026-02-24 06:00:00+00:00,6138.0,6140.5,6136.0,6136.0,1658
2026-02-24 06:15:00+00:00,6145.0,6145.0,6135.0,6138.0,5469
2026-02-24 06:30:00+00:00,6145.5,6153.5,6142.0,6147.5,4772
2026-02-24 06:45:00+00:00,6145.5,6149.0,6140.0,6144.0,1399
2026-02-24 07:00:00+00:00,6148.0,6152.5,6143.5,6145.5,4455
2026-02-24 07:15:00+00:00,6148.5,6151.0,6136.0,6149.0,3755
2026-02-24 07:30:00+00:00,6148.0,6148.5,6138.0,6148.5,3748
2026-02-24 07:45:00+00:00,6143.0,6148.5,6140.0,6145.0,5118
2026-02-24 08:00:00+00:00,6131.0,6140.5,6123.5,6140.0,8906
2026-02-24 08:15:00+00:00,6134.0,6139.0,6121.5,6126.5,6242
2026-02-24 08:30:00+00:00,6141.0,6146.5,6131.0,6139.0,7692
2026-02-24 08:45:00+00:00,6140.0,6142.5,6134.5,6137.5,6630
2026-02-24 09:00:00+00:00,6136.0,6142.0,6132.5,6139.0,8181
2026-02-24 09:15:00+00:00,6148.5,6151.0,6135.0,6136.0,9321
2026-02-24 09:30:00+00:00,6167.0,6173.0,6143.0,6150.0,33410
2026-02-24 09:45:00+00:00,6167.0,6172.0,6131.0,6166.5,31445
2026-02-25 03:45:00+00:00,6187.0,6201.0,6156.0,6169.0,11740
2026-02-25 04:00:00+00:00,6201.0,6205.5,6182.5,6186.0,11341
2026-02-25 04:15:00+00:00,6186.0,6203.0,6185.0,6201.0,6089
2026-02-25 04:30:00+00:00,6187.5,6192.0,6171.0,6188.0,29368
2026-02-25 04:45:00+00:00,6185.5,6196.0,6185.0,6187.5,3103
2026-02-25 05:00:00+00:00,6183.5,6191.0,6177.0,6185.5,2692
2026-02-25 05:15:00+00:00,6188.5,6198.5,6183.5,6183.5,4538
2026-02-25 05:30:00+00:00,6192.0,6195.5,6188.5,6191.0,4364
2026-02-25 05:45:00+00:00,6198.5,6207.0,6195.0,6195.0,6027
2026-02-25 06:00:00+00:00,6195.0,6200.0,6192.0,6198.5,2489
2026-02-25 06:15:00+00:00,6175.5,6198.0,6171.0,6197.0,6915
2026-02-25 06:30:00+00:00,6184.5,6192.5,6175.5,6175.5,2448
