Datetime,Open,High,Low,Close,Volume
2026-05-19T09:15:00+05:30,125.09,126.24,125.09,126.16,2132449
2026-05-19T09:30:00+05:30,126.24,126.5,125.53,126.31,1382185
2026-05-19T09:45:00+05:30,126.31,126.34,125.95,125.95,563309
2026-05-19T10:00:00+05:30,125.95,126.36,125.84,126.26,515912
2026-05-19T10:15:00+05:30,126.26,126.33,125.91,126.19,452856
2026-05-19T10:30:00+05:30,126.19,126.32,126.0,126.29,513532
2026-05-19T10:45:00+05:30,126.32,126.66,126.05,126.52,840116
2026-05-19T11:00:00+05:30,126.54,126.54,125.89,126.02,647187
2026-05-19T11:15:00+05:30,126.03,126.1,125.75,126.1,634046
2026-05-19T11:30:00+05:30,126.11,126.39,125.93,126.25,444865
2026-05-19T11:45:00+05:30,126.27,126.47,126.15,126.23,300099
2026-05-19T12:00:00+05:30,126.22,126.76,126.16,126.69,799363
2026-05-19T12:15:00+05:30,126.69,126.7,126.3,126.42,514229
2026-05-19T12:30:00+05:30,126.42,126.64,126.3,126.3,411667
2026-05-19T12:45:00+05:30,126.31,126.38,126.05,126.1,560375
2026-05-19T13:00:00+05:30,126.13,126.37,126.05,126.18,276450
2026-05-19T13:15:00+05:30,126.18,126.3,126.14,126.28,278723
2026-05-19T13:30:00+05:30,126.3,126.5,126.08,126.22,888337
2026-05-19T13:45:00+05:30,126.21,126.3,125.9,125.98,702659
2026-05-19T14:00:00+05:30,125.98,126.25,125.98,126.19,311953
2026-05-19T14:15:00+05:30,126.19,126.36,126.13,126.18,794343
2026-05-19T14:30:00+05:30,126.18,126.27,125.89,125.91,615108
2026-05-19T14:45:00+05:30,125.91,126.24,125.74,126.1,789487
2026-05-19T15:00:00+05:30,126.14,126.36,125.94,126.18,1385196
2026-05-19T15:15:00+05:30,126.18,126.24,126.0,126.2,1607940
