Datetime,Open,High,Low,Close,Volume
2026-05-19T09:15:00+05:30,462.1,463.25,456.8,459.0,445757
2026-05-19T09:30:00+05:30,459.0,459.8,456.65,458.1,214645
2026-05-19T09:45:00+05:30,458.15,459.9,458.05,458.05,216522
2026-05-19T10:00:00+05:30,458.25,458.7,457.1,457.6,288432
2026-05-19T10:15:00+05:30,457.6,458.5,456.05,458.0,401127
2026-05-19T10:30:00+05:30,458.05,458.9,456.8,458.35,330515
2026-05-19T10:45:00+05:30,458.35,459.05,457.9,458.25,118341
2026-05-19T11:00:00+05:30,458.45,458.45,455.3,455.45,717983
2026-05-19T11:15:00+05:30,455.45,455.8,454.0,455.25,544610
2026-05-19T11:30:00+05:30,455.25,456.45,454.9,456.3,453045
2026-05-19T11:45:00+05:30,456.4,456.8,455.85,456.05,228636
2026-05-19T12:00:00+05:30,456.2,456.25,455.1,455.35,160919
2026-05-19T12:15:00+05:30,455.5,457.3,454.85,457.0,375953
2026-05-19T12:30:00+05:30,457.1,458.0,456.0,456.5,182087
2026-05-19T12:45:00+05:30,456.6,456.85,455.9,456.45,187665
2026-05-19T13:00:00+05:30,456.7,457.35,456.1,456.8,120764
2026-05-19T13:15:00+05:30,456.95,457.75,456.65,457.3,120948
2026-05-19T13:30:00+05:30,457.3,458.0,455.95,456.25,490996
2026-05-19T13:45:00+05:30,456.35,456.95,456.2,456.4,108106
2026-05-19T14:00:00+05:30,456.4,457.1,456.2,456.95,89783
2026-05-19T14:15:00+05:30,456.95,457.4,456.5,456.95,112083
2026-05-19T14:30:00+05:30,456.95,457.6,456.6,457.1,142252
2026-05-19T14:45:00+05:30,457.2,457.7,456.2,456.65,172963
2026-05-19T15:00:00+05:30,456.7,458.05,456.45,456.95,518187
2026-05-19T15:15:00+05:30,456.95,457.0,456.05,456.3,495016
