Datetime,Open,High,Low,Close,Volume
2026-05-19T09:15:00+05:30,515.4,525.4,515.4,524.75,200261
2026-05-19T09:30:00+05:30,524.7,525.55,521.75,525.15,61107
2026-05-19T09:45:00+05:30,525.15,526.25,517.35,518.1,72508
2026-05-19T10:00:00+05:30,518.3,521.05,518.05,519.85,64835
2026-05-19T10:15:00+05:30,519.85,521.25,518.95,520.9,51415
2026-05-19T10:30:00+05:30,520.9,523.0,520.7,523.0,106459
2026-05-19T10:45:00+05:30,522.95,523.5,521.5,523.0,347544
2026-05-19T11:00:00+05:30,523.0,523.1,521.2,521.8,188259
2026-05-19T11:15:00+05:30,521.85,521.9,520.55,521.65,35860
2026-05-19T11:30:00+05:30,521.7,526.45,521.5,522.95,618173
2026-05-19T11:45:00+05:30,522.95,523.45,521.35,522.2,211615
2026-05-19T12:00:00+05:30,522.2,522.45,519.25,521.9,598766
2026-05-19T12:15:00+05:30,522.0,523.35,520.0,521.9,175694
2026-05-19T12:30:00+05:30,521.9,523.25,520.85,522.45,42577
2026-05-19T12:45:00+05:30,522.45,522.5,519.65,520.3,95591
2026-05-19T13:00:00+05:30,520.55,522.1,520.55,521.3,43175
2026-05-19T13:15:00+05:30,521.5,522.7,521.0,522.05,38834
2026-05-19T13:30:00+05:30,522.3,522.4,521.0,521.2,52068
2026-05-19T13:45:00+05:30,521.25,522.05,520.55,521.7,28554
2026-05-19T14:00:00+05:30,521.9,522.3,521.1,521.85,15020
2026-05-19T14:15:00+05:30,521.85,522.6,521.6,522.0,51709
2026-05-19T14:30:00+05:30,522.2,522.5,521.65,522.0,76305
2026-05-19T14:45:00+05:30,522.0,522.7,521.7,522.2,41070
2026-05-19T15:00:00+05:30,522.2,523.35,521.55,522.25,95696
2026-05-19T15:15:00+05:30,522.2,522.8,521.4,521.95,104613
