Datetime,Open,High,Low,Close,Volume
2026-05-19T09:15:00+05:30,12.98,13.23,12.87,13.01,196662824
2026-05-19T09:30:00+05:30,13.01,13.01,12.86,12.93,69297338
2026-05-19T09:45:00+05:30,12.94,13.18,12.92,13.1,104373631
2026-05-19T10:00:00+05:30,13.11,13.18,13.05,13.08,34986346
2026-05-19T10:15:00+05:30,13.07,13.11,13.0,13.05,38875547
2026-05-19T10:30:00+05:30,13.05,13.28,13.04,13.24,93024348
2026-05-19T10:45:00+05:30,13.25,13.38,13.24,13.34,79109445
2026-05-19T11:00:00+05:30,13.33,13.4,13.31,13.33,42279070
2026-05-19T11:15:00+05:30,13.33,13.38,13.3,13.31,27764061
2026-05-19T11:30:00+05:30,13.32,13.42,13.31,13.34,52360384
2026-05-19T11:45:00+05:30,13.34,13.38,13.25,13.38,37177043
2026-05-19T12:00:00+05:30,13.38,13.45,13.37,13.43,52966616
2026-05-19T12:15:00+05:30,13.43,13.55,13.41,13.53,85679613
2026-05-19T12:30:00+05:30,13.53,13.65,13.49,13.63,79038609
2026-05-19T12:45:00+05:30,13.62,13.65,13.56,13.6,49769747
2026-05-19T13:00:00+05:30,13.6,13.68,13.59,13.64,46426101
2026-05-19T13:15:00+05:30,13.65,13.67,13.61,13.63,26335001
2026-05-19T13:30:00+05:30,13.64,13.67,13.58,13.58,36535211
2026-05-19T13:45:00+05:30,13.58,13.61,13.49,13.51,45655167
2026-05-19T14:00:00+05:30,13.51,13.57,13.51,13.56,31724386
2026-05-19T14:15:00+05:30,13.55,13.58,13.51,13.55,21905240
2026-05-19T14:30:00+05:30,13.55,13.55,13.42,13.44,40589159
2026-05-19T14:45:00+05:30,13.45,13.59,13.42,13.54,56390479
2026-05-19T15:00:00+05:30,13.55,13.59,13.46,13.56,71021256
2026-05-19T15:15:00+05:30,13.56,13.58,13.46,13.48,104599941
