Datetime,Open,High,Low,Close,Volume
2026-05-19T09:15:00+05:30,98.0,98.48,97.77,98.25,1210322
2026-05-19T09:30:00+05:30,98.25,98.38,97.55,98.11,806069
2026-05-19T09:45:00+05:30,98.12,98.2,97.7,97.76,445363
2026-05-19T10:00:00+05:30,97.73,98.27,97.72,98.15,375242
2026-05-19T10:15:00+05:30,98.15,98.2,97.98,98.15,246916
2026-05-19T10:30:00+05:30,98.15,98.19,98.02,98.11,138369
2026-05-19T10:45:00+05:30,98.15,98.4,98.1,98.29,299430
2026-05-19T11:00:00+05:30,98.29,98.34,98.11,98.13,182744
2026-05-19T11:15:00+05:30,98.17,98.18,97.96,98.03,225238
2026-05-19T11:30:00+05:30,98.07,98.14,97.85,98.01,161586
2026-05-19T11:45:00+05:30,98.06,98.14,98.0,98.06,121694
2026-05-19T12:00:00+05:30,98.06,98.09,97.95,98.04,118633
2026-05-19T12:15:00+05:30,98.04,98.04,97.8,97.98,244867
2026-05-19T12:30:00+05:30,97.92,98.05,97.88,97.91,167998
2026-05-19T12:45:00+05:30,97.89,97.94,97.76,97.82,163857
2026-05-19T13:00:00+05:30,97.8,97.85,97.65,97.71,235815
2026-05-19T13:15:00+05:30,97.66,97.9,97.65,97.85,225045
2026-05-19T13:30:00+05:30,97.85,97.92,97.57,97.75,322691
2026-05-19T13:45:00+05:30,97.75,97.9,97.61,97.69,183063
2026-05-19T14:00:00+05:30,97.7,97.89,97.69,97.74,237362
2026-05-19T14:15:00+05:30,97.75,97.83,97.71,97.77,98607
2026-05-19T14:30:00+05:30,97.76,97.78,97.3,97.4,488090
2026-05-19T14:45:00+05:30,97.41,97.49,97.26,97.45,367167
2026-05-19T15:00:00+05:30,97.44,97.55,97.29,97.45,503529
2026-05-19T15:15:00+05:30,97.44,97.46,97.0,97.08,925682
