Datetime,Open,High,Low,Close,Volume
2026-05-19T09:15:00+05:30,388.5,391.8,388.5,389.8,1235370
2026-05-19T09:30:00+05:30,389.8,390.25,387.35,389.9,560153
2026-05-19T09:45:00+05:30,390.05,390.1,388.65,388.85,358732
2026-05-19T10:00:00+05:30,388.85,389.5,388.55,389.15,360052
2026-05-19T10:15:00+05:30,389.15,389.5,388.1,388.45,334656
2026-05-19T10:30:00+05:30,388.5,388.95,388.3,388.75,338554
2026-05-19T10:45:00+05:30,388.75,389.3,388.05,388.5,593965
2026-05-19T11:00:00+05:30,388.65,389.45,387.3,387.3,779489
2026-05-19T11:15:00+05:30,387.35,387.35,386.3,386.65,523052
2026-05-19T11:30:00+05:30,386.65,387.35,386.4,386.75,522119
2026-05-19T11:45:00+05:30,386.8,387.55,386.5,386.9,756713
2026-05-19T12:00:00+05:30,387.0,387.1,386.5,386.55,236411
2026-05-19T12:15:00+05:30,386.55,387.15,385.55,386.15,653643
2026-05-19T12:30:00+05:30,386.15,386.5,385.0,385.3,598890
2026-05-19T12:45:00+05:30,385.25,385.3,384.3,385.1,723991
2026-05-19T13:00:00+05:30,385.1,386.25,384.85,385.0,437433
2026-05-19T13:15:00+05:30,385.05,385.3,384.75,384.95,417009
2026-05-19T13:30:00+05:30,385.05,385.7,384.05,384.15,638919
2026-05-19T13:45:00+05:30,384.15,384.85,383.4,383.8,567836
2026-05-19T14:00:00+05:30,383.85,384.4,383.5,383.95,1005886
2026-05-19T14:15:00+05:30,384.0,385.25,383.7,383.7,834589
2026-05-19T14:30:00+05:30,383.75,383.8,381.8,382.15,2549503
2026-05-19T14:45:00+05:30,382.15,382.15,380.25,381.0,1330550
2026-05-19T15:00:00+05:30,381.15,381.95,380.7,381.4,2431778
2026-05-19T15:15:00+05:30,381.35,383.45,381.1,382.05,3560329
