Datetime,Open,High,Low,Close,Volume
2026-05-19T09:15:00+05:30,429.7,431.75,426.1,427.1,399143
2026-05-19T09:30:00+05:30,427.15,433.0,426.7,432.55,365383
2026-05-19T09:45:00+05:30,432.4,433.3,430.7,430.75,394244
2026-05-19T10:00:00+05:30,430.7,433.15,430.55,432.95,97513
2026-05-19T10:15:00+05:30,433.0,433.65,431.65,432.2,90101
2026-05-19T10:30:00+05:30,432.2,432.4,430.45,431.6,246256
2026-05-19T10:45:00+05:30,431.65,434.45,431.6,433.85,181450
2026-05-19T11:00:00+05:30,433.85,433.95,432.55,432.9,79637
2026-05-19T11:15:00+05:30,432.95,433.05,432.2,432.6,71020
2026-05-19T11:30:00+05:30,432.8,433.3,432.0,433.0,40247
2026-05-19T11:45:00+05:30,433.1,433.75,432.85,433.2,37543
2026-05-19T12:00:00+05:30,433.2,433.95,432.8,433.3,75944
2026-05-19T12:15:00+05:30,433.3,433.6,432.25,433.35,63485
2026-05-19T12:30:00+05:30,433.4,434.0,433.0,433.35,46861
2026-05-19T12:45:00+05:30,433.45,433.7,432.2,432.9,59400
2026-05-19T13:00:00+05:30,432.9,433.1,431.7,431.95,83008
2026-05-19T13:15:00+05:30,432.0,433.65,431.85,433.65,63108
2026-05-19T13:30:00+05:30,433.65,433.95,432.6,433.45,216822
2026-05-19T13:45:00+05:30,433.4,433.95,432.55,433.05,86412
2026-05-19T14:00:00+05:30,433.05,434.0,432.9,433.95,109386
2026-05-19T14:15:00+05:30,433.95,434.3,433.85,434.15,91537
2026-05-19T14:30:00+05:30,434.1,434.35,431.75,432.0,195274
2026-05-19T14:45:00+05:30,432.0,432.9,431.55,431.75,131301
2026-05-19T15:00:00+05:30,431.75,432.75,431.6,432.4,273974
2026-05-19T15:15:00+05:30,432.45,432.55,429.6,430.6,408645
