Datetime,Open,High,Low,Close,Volume
2026-05-19T09:15:00+05:30,73.5,74.05,73.25,74.04,564717
2026-05-19T09:30:00+05:30,74.03,74.33,73.3,74.17,378169
2026-05-19T09:45:00+05:30,74.21,74.5,73.94,73.99,235824
2026-05-19T10:00:00+05:30,73.95,74.45,73.93,74.45,144919
2026-05-19T10:15:00+05:30,74.45,74.48,74.18,74.42,173985
2026-05-19T10:30:00+05:30,74.39,74.56,74.3,74.5,154861
2026-05-19T10:45:00+05:30,74.49,74.9,74.46,74.79,243359
2026-05-19T11:00:00+05:30,74.79,74.8,74.51,74.55,60667
2026-05-19T11:15:00+05:30,74.55,74.55,74.31,74.46,100264
2026-05-19T11:30:00+05:30,74.5,74.6,74.38,74.54,51767
2026-05-19T11:45:00+05:30,74.54,74.65,74.4,74.45,59025
2026-05-19T12:00:00+05:30,74.45,74.57,74.3,74.37,156275
2026-05-19T12:15:00+05:30,74.39,74.47,74.24,74.4,57765
2026-05-19T12:30:00+05:30,74.39,74.65,74.32,74.4,76130
2026-05-19T12:45:00+05:30,74.41,74.49,74.31,74.33,28484
2026-05-19T13:00:00+05:30,74.37,74.4,74.26,74.26,33890
2026-05-19T13:15:00+05:30,74.3,74.44,74.26,74.4,33173
2026-05-19T13:30:00+05:30,74.42,74.5,74.34,74.41,63431
2026-05-19T13:45:00+05:30,74.37,74.69,74.3,74.51,148983
2026-05-19T14:00:00+05:30,74.57,74.75,74.54,74.75,163393
2026-05-19T14:15:00+05:30,74.75,74.9,74.7,74.78,168180
2026-05-19T14:30:00+05:30,74.78,74.79,74.64,74.68,120247
2026-05-19T14:45:00+05:30,74.68,74.75,74.52,74.64,155981
2026-05-19T15:00:00+05:30,74.69,74.79,74.51,74.55,180308
2026-05-19T15:15:00+05:30,74.55,74.71,74.38,74.4,242475
