Datetime,Open,High,Low,Close,Volume
2026-05-19T09:15:00+05:30,53.57,53.77,53.23,53.4,5463691
2026-05-19T09:30:00+05:30,53.4,53.42,52.92,53.39,6391853
2026-05-19T09:45:00+05:30,53.38,53.47,53.28,53.32,2048090
2026-05-19T10:00:00+05:30,53.3,53.63,53.25,53.57,1800040
2026-05-19T10:15:00+05:30,53.58,53.6,53.44,53.48,1943829
2026-05-19T10:30:00+05:30,53.48,53.54,53.41,53.51,779694
2026-05-19T10:45:00+05:30,53.5,53.69,53.5,53.67,1549832
2026-05-19T11:00:00+05:30,53.67,53.77,53.55,53.58,1796131
2026-05-19T11:15:00+05:30,53.58,53.73,53.5,53.68,1280957
2026-05-19T11:30:00+05:30,53.65,53.8,53.53,53.77,1595139
2026-05-19T11:45:00+05:30,53.75,53.83,53.67,53.69,1470851
2026-05-19T12:00:00+05:30,53.68,53.72,53.59,53.63,1179531
2026-05-19T12:15:00+05:30,53.63,53.65,53.51,53.6,844873
2026-05-19T12:30:00+05:30,53.62,53.79,53.55,53.57,1289654
2026-05-19T12:45:00+05:30,53.55,53.6,53.44,53.56,1679906
2026-05-19T13:00:00+05:30,53.55,53.57,53.5,53.51,663524
2026-05-19T13:15:00+05:30,53.5,53.58,53.42,53.45,1313811
2026-05-19T13:30:00+05:30,53.44,53.48,53.3,53.4,1642420
2026-05-19T13:45:00+05:30,53.4,53.5,53.28,53.32,1051313
2026-05-19T14:00:00+05:30,53.3,53.4,53.3,53.36,1058658
2026-05-19T14:15:00+05:30,53.35,53.45,53.32,53.38,656795
2026-05-19T14:30:00+05:30,53.38,53.39,53.07,53.13,3076240
2026-05-19T14:45:00+05:30,53.13,53.28,53.07,53.18,1808463
2026-05-19T15:00:00+05:30,53.2,53.23,52.98,53.13,3534054
2026-05-19T15:15:00+05:30,53.14,53.15,52.52,52.78,7779780
