Datetime,Open,High,Low,Close,Volume
2026-05-19T09:15:00+05:30,210.59,211.6,209.75,209.88,4508694
2026-05-19T09:30:00+05:30,209.88,210.7,209.1,209.95,2113172
2026-05-19T09:45:00+05:30,210.01,210.55,209.65,209.66,1571061
2026-05-19T10:00:00+05:30,209.66,211.7,209.61,211.15,1952498
2026-05-19T10:15:00+05:30,211.15,211.45,210.71,211.23,950834
2026-05-19T10:30:00+05:30,211.25,211.88,211.1,211.65,1210646
2026-05-19T10:45:00+05:30,211.65,212.33,211.21,212.22,1717282
2026-05-19T11:00:00+05:30,212.22,212.33,210.77,211.03,2142849
2026-05-19T11:15:00+05:30,211.04,211.4,210.8,211.4,975708
2026-05-19T11:30:00+05:30,211.4,211.68,210.86,211.66,754037
2026-05-19T11:45:00+05:30,211.66,211.7,210.82,210.87,1153995
2026-05-19T12:00:00+05:30,210.87,211.44,210.51,211.4,757712
2026-05-19T12:15:00+05:30,211.44,211.65,211.0,211.02,764961
2026-05-19T12:30:00+05:30,211.02,211.43,210.82,210.96,435803
2026-05-19T12:45:00+05:30,210.96,211.2,210.8,210.86,575257
2026-05-19T13:00:00+05:30,210.86,211.14,210.7,210.94,427871
2026-05-19T13:15:00+05:30,210.94,211.12,210.55,210.97,717624
2026-05-19T13:30:00+05:30,210.99,211.05,210.13,210.43,798310
2026-05-19T13:45:00+05:30,210.43,210.72,210.15,210.26,432730
2026-05-19T14:00:00+05:30,210.26,210.94,210.26,210.8,518983
2026-05-19T14:15:00+05:30,210.8,210.95,210.46,210.5,750629
2026-05-19T14:30:00+05:30,210.54,210.59,209.39,209.53,1399226
2026-05-19T14:45:00+05:30,209.53,209.68,209.1,209.47,1363797
2026-05-19T15:00:00+05:30,209.47,209.76,209.19,209.47,1944661
2026-05-19T15:15:00+05:30,209.42,209.47,209.0,209.03,1833283
