Datetime,Open,High,Low,Close,Volume
2026-05-19T09:15:00+05:30,192.4,198.0,192.4,196.65,4716238
2026-05-19T09:30:00+05:30,196.69,197.09,196.05,196.74,1457548
2026-05-19T09:45:00+05:30,196.74,196.79,196.1,196.1,654597
2026-05-19T10:00:00+05:30,196.11,196.38,195.8,196.11,602393
2026-05-19T10:15:00+05:30,196.13,196.58,196.05,196.45,587490
2026-05-19T10:30:00+05:30,196.45,197.99,196.45,197.83,1031265
2026-05-19T10:45:00+05:30,197.83,197.83,197.05,197.32,605491
2026-05-19T11:00:00+05:30,197.31,197.9,197.2,197.71,560466
2026-05-19T11:15:00+05:30,197.76,197.95,197.02,197.33,471551
2026-05-19T11:30:00+05:30,197.33,197.33,196.36,196.77,748856
2026-05-19T11:45:00+05:30,196.77,196.77,196.36,196.46,323293
2026-05-19T12:00:00+05:30,196.47,196.49,195.86,195.86,584448
2026-05-19T12:15:00+05:30,195.89,195.91,195.56,195.72,415819
2026-05-19T12:30:00+05:30,195.73,196.1,195.51,195.78,424855
2026-05-19T12:45:00+05:30,195.83,195.9,195.4,195.55,399670
2026-05-19T13:00:00+05:30,195.63,195.66,195.35,195.38,347046
2026-05-19T13:15:00+05:30,195.41,195.72,195.36,195.45,334872
2026-05-19T13:30:00+05:30,195.49,195.72,195.14,195.21,376368
2026-05-19T13:45:00+05:30,195.27,195.43,195.05,195.21,718273
2026-05-19T14:00:00+05:30,195.23,195.63,195.21,195.56,600816
2026-05-19T14:15:00+05:30,195.56,195.77,195.41,195.51,309293
2026-05-19T14:30:00+05:30,195.55,195.74,195.25,195.45,383702
2026-05-19T14:45:00+05:30,195.46,195.55,195.22,195.47,775509
2026-05-19T15:00:00+05:30,195.47,195.56,195.06,195.15,1390055
2026-05-19T15:15:00+05:30,195.15,195.26,195.01,195.13,1390104
