Datetime,Open,High,Low,Close,Volume
2026-05-19T09:15:00+05:30,21.84,21.97,21.79,21.92,6685685
2026-05-19T09:30:00+05:30,21.92,21.95,21.72,21.89,5633254
2026-05-19T09:45:00+05:30,21.89,21.9,21.81,21.83,2833799
2026-05-19T10:00:00+05:30,21.83,21.94,21.82,21.9,1958802
2026-05-19T10:15:00+05:30,21.9,21.93,21.88,21.9,1116872
2026-05-19T10:30:00+05:30,21.91,21.95,21.89,21.93,1651535
2026-05-19T10:45:00+05:30,21.94,22.04,21.92,22.0,3908558
2026-05-19T11:00:00+05:30,22.01,22.02,21.92,21.93,1478742
2026-05-19T11:15:00+05:30,21.93,21.93,21.88,21.89,2114535
2026-05-19T11:30:00+05:30,21.9,21.94,21.88,21.93,1718921
2026-05-19T11:45:00+05:30,21.93,21.96,21.9,21.95,1626688
2026-05-19T12:00:00+05:30,21.95,22.13,21.92,22.12,6601988
2026-05-19T12:15:00+05:30,22.11,22.12,22.02,22.06,2575707
2026-05-19T12:30:00+05:30,22.06,22.08,22.0,22.01,1734427
2026-05-19T12:45:00+05:30,22.02,22.02,21.98,22.0,1709949
2026-05-19T13:00:00+05:30,22.0,22.0,21.98,22.0,765959
2026-05-19T13:15:00+05:30,22.0,22.04,21.96,21.99,2402141
2026-05-19T13:30:00+05:30,21.99,22.02,21.96,22.01,1801039
2026-05-19T13:45:00+05:30,21.99,22.03,21.97,21.99,623831
2026-05-19T14:00:00+05:30,21.99,22.03,21.98,22.03,1132085
2026-05-19T14:15:00+05:30,22.03,22.03,22.01,22.01,1427402
2026-05-19T14:30:00+05:30,22.02,22.03,21.97,21.97,3453459
2026-05-19T14:45:00+05:30,21.98,22.02,21.94,22.01,2700272
2026-05-19T15:00:00+05:30,22.01,22.02,21.94,21.98,4650261
2026-05-19T15:15:00+05:30,22.0,22.0,21.93,21.94,4765938
