experience_hash,symbol,date,signal_time,timeframe,setup_type,side,entry,sl,target,outcome,outcome_reason,pnl_points,rr,score,confidence,trend,regime,volume_score,strength_score,compression_score,reason,lesson_learned,source_type,trust_level,validation_status,native_trade_import,live_mutation,broker_mutation,telegram_mutation
97ca460ea6d4bb993a1095a073478b4eb83af73c8aee1911d7fce6c9ea3523cc,HDFCBANK,2019-01-02,2019-01-02T09:35:00+00:00,5m,trend_momentum_breakout,LONG,1711.7,1707.1,1721.0,WIN,Target touched at 2019-01-02T10:20:00+00:00; trend_momentum_breakout had continuation follow-through in SIDEWAYS regime for LONG side.,9.3,2.0,73.16,73.88,SIDEWAYS,SIDEWAYS,1.72,0.53,1.24,"trend_momentum_breakout simulated external historical experience for HDFCBANK: trend=SIDEWAYS, regime=SIDEWAYS, side=LONG, volume_score=1.72, strength_score=0.53, compression_score=1.24, score=73.16. Setup was evaluated using trend alignment, momentum quality, structure, volatility state, and 1:2 risk-reward behavior.","trend_momentum_breakout on HDFCBANK worked for LONG trades in SIDEWAYS conditions. TITAN should increase simulated confidence only when similar structure, momentum, volume, and regime alignment repeat. Score=73.16, confidence=73.88. Preserve as simulated evidence until validated by live/paper outcomes.",HISTORICAL_SIMULATED,BACKTEST_SIMULATED,UNVALIDATED,False,False,False,False
db9f7df21067b9d7cff884c5f050bfb7bb6d17a01465684d2cb65212974e6233,SUNPHARMA,2019-01-03,2019-01-03T11:20:00+00:00,5m,relative_strength_breakout,LONG,1393.4,1388.0,1404.3,LOSS,"Stop loss touched at 2019-01-03T12:50:00+00:00; relative_strength_breakout failed due to weak follow-through, possible trap behavior, or volatility reversal in SIDEWAYS regime.",-5.4,-1.0,70.2,62.9,MIXED,SIDEWAYS,1.23,-0.22,4.23,"relative_strength_breakout simulated external historical experience for SUNPHARMA: trend=MIXED, regime=SIDEWAYS, side=LONG, volume_score=1.23, strength_score=-0.22, compression_score=4.23, score=70.2. Setup was evaluated using trend alignment, momentum quality, structure, volatility state, and 1:2 risk-reward behavior.","relative_strength_breakout on SUNPHARMA failed for LONG trades in SIDEWAYS conditions. TITAN should watch for trap risk, poor confirmation, volatility reversal, or weak continuation before trusting this setup again. Score=70.2, confidence=62.9. Preserve as simulated weakness evidence until validated.",HISTORICAL_SIMULATED,BACKTEST_SIMULATED,UNVALIDATED,False,False,False,False
f584fae2fc1653412fd73a3130acad201115bf775ff1f132d05f5e03dd7236b0,HCLTECH,2019-01-04,2019-01-04T14:20:00+00:00,1h,trend_momentum_breakout,LONG,1513.0,1502.3,1534.4,WIN,Target touched at 2019-01-04T15:50:00+00:00; trend_momentum_breakout had continuation follow-through in HIGH_VOLATILITY regime for LONG side.,21.4,2.0,94.59,92.67,BULLISH,HIGH_VOLATILITY,3.58,2.14,9.87,"trend_momentum_breakout simulated external historical experience for HCLTECH: trend=BULLISH, regime=HIGH_VOLATILITY, side=LONG, volume_score=3.58, strength_score=2.14, compression_score=9.87, score=94.59. Setup was evaluated using trend alignment, momentum quality, structure, volatility state, and 1:2 risk-reward behavior.","trend_momentum_breakout on HCLTECH worked for LONG trades in HIGH_VOLATILITY conditions. TITAN should increase simulated confidence only when similar structure, momentum, volume, and regime alignment repeat. Score=94.59, confidence=92.67. Preserve as simulated evidence until validated by live/paper outcomes.",HISTORICAL_SIMULATED,BACKTEST_SIMULATED,UNVALIDATED,False,False,False,False
1d08c987a4eccff9ad4e5c7c35f2465518ccaf5312e0f99b574416cd8496e73d,TATAMOTORS,2019-01-07,2019-01-07T10:20:00+00:00,5m,compression_breakout_attempt,SHORT,1059.7,1063.5,1052.0,LOSS,"Stop loss touched at 2019-01-07T14:20:00+00:00; compression_breakout_attempt failed due to weak follow-through, possible trap behavior, or volatility reversal in SIDEWAYS regime.",-3.8,-1.0,76.74,79.69,SIDEWAYS,SIDEWAYS,1.49,-0.22,9.91,"compression_breakout_attempt simulated external historical experience for TATAMOTORS: trend=SIDEWAYS, regime=SIDEWAYS, side=SHORT, volume_score=1.49, strength_score=-0.22, compression_score=9.91, score=76.74. Setup was evaluated using trend alignment, momentum quality, structure, volatility state, and 1:2 risk-reward behavior.","compression_breakout_attempt on TATAMOTORS failed for SHORT trades in SIDEWAYS conditions. TITAN should watch for trap risk, poor confirmation, volatility reversal, or weak continuation before trusting this setup again. Score=76.74, confidence=79.69. Preserve as simulated weakness evidence until validated.",HISTORICAL_SIMULATED,BACKTEST_SIMULATED,UNVALIDATED,False,False,False,False
96b39b2454cb34cba2d75d38c34b6ef9ea98382471251dcf89a216655a2d83e9,TCS,2019-01-07,2019-01-07T09:35:00+00:00,15m,compression_breakout_attempt,LONG,5061.7,5030.4,5124.3,WIN,Target touched at 2019-01-07T10:20:00+00:00; compression_breakout_attempt had continuation follow-through in BULLISH regime for LONG side.,62.6,2.0,93.68,87.97,BULLISH,BULLISH,3.82,-1.22,5.49,"compression_breakout_attempt simulated external historical experience for TCS: trend=BULLISH, regime=BULLISH, side=LONG, volume_score=3.82, strength_score=-1.22, compression_score=5.49, score=93.68. Setup was evaluated using trend alignment, momentum quality, structure, volatility state, and 1:2 risk-reward behavior.","compression_breakout_attempt on TCS worked for LONG trades in BULLISH conditions. TITAN should increase simulated confidence only when similar structure, momentum, volume, and regime alignment repeat. Score=93.68, confidence=87.97. Preserve as simulated evidence until validated by live/paper outcomes.",HISTORICAL_SIMULATED,BACKTEST_SIMULATED,UNVALIDATED,False,False,False,False
33fec8b8a4cd76a85d7f5ba3a370201ca23f0f262f8a2c015bf5b5468231e735,LT,2019-01-07,2019-01-07T11:20:00+00:00,1h,relative_strength_breakout,SHORT,3385.2,3415.6,3324.4,LOSS,"Stop loss touched at 2019-01-07T14:20:00+00:00; relative_strength_breakout failed due to weak follow-through, possible trap behavior, or volatility reversal in LOW_VOLATILITY_COMPRESSION regime.",-30.4,-1.0,86.61,81.17,BEARISH,LOW_VOLATILITY_COMPRESSION,1.38,0.46,7.8,"relative_strength_breakout simulated external historical experience for LT: trend=BEARISH, regime=LOW_VOLATILITY_COMPRESSION, side=SHORT, volume_score=1.38, strength_score=0.46, compression_score=7.8, score=86.61. Setup was evaluated using trend alignment, momentum quality, structure, volatility state, and 1:2 risk-reward behavior.","relative_strength_breakout on LT failed for SHORT trades in LOW_VOLATILITY_COMPRESSION conditions. TITAN should watch for trap risk, poor confirmation, volatility reversal, or weak continuation before trusting this setup again. Score=86.61, confidence=81.17. Preserve as simulated weakness evidence until validated.",HISTORICAL_SIMULATED,BACKTEST_SIMULATED,UNVALIDATED,False,False,False,False
272bdc3ec09c7e0d8e106b28e711daa0a7241d1c1d716ebe160b18fea714a40a,MARUTI,2019-01-09,2019-01-09T13:20:00+00:00,1h,relative_strength_breakout,LONG,16258.3,16126.7,16521.5,LOSS,"Stop loss touched at 2019-01-09T13:50:00+00:00; relative_strength_breakout failed due to weak follow-through, possible trap behavior, or volatility reversal in BULLISH regime.",-131.6,-1.0,75.97,78.23,BULLISH,BULLISH,0.85,1.82,7.14,"relative_strength_breakout simulated external historical experience for MARUTI: trend=BULLISH, regime=BULLISH, side=LONG, volume_score=0.85, strength_score=1.82, compression_score=7.14, score=75.97. Setup was evaluated using trend alignment, momentum quality, structure, volatility state, and 1:2 risk-reward behavior.","relative_strength_breakout on MARUTI failed for LONG trades in BULLISH conditions. TITAN should watch for trap risk, poor confirmation, volatility reversal, or weak continuation before trusting this setup again. Score=75.97, confidence=78.23. Preserve as simulated weakness evidence until validated.",HISTORICAL_SIMULATED,BACKTEST_SIMULATED,UNVALIDATED,False,False,False,False
13bc320d24a523a8b400131e51bd6ca22df0a6b247f88fdaf84c34b22c859e29,KOTAKBANK,2019-01-10,2019-01-10T10:20:00+00:00,1h,trend_continuation,SHORT,1845.6,1851.5,1833.8,BREAKEVEN,Neither target nor stop loss showed decisive control by 2019-01-10T11:05:00+00:00; treated as breakeven/inconclusive simulated experience.,0.0,0.0,67.97,65.95,BEARISH,BEARISH,3.43,2.55,5.57,"trend_continuation simulated external historical experience for KOTAKBANK: trend=BEARISH, regime=BEARISH, side=SHORT, volume_score=3.43, strength_score=2.55, compression_score=5.57, score=67.97. Setup was evaluated using trend alignment, momentum quality, structure, volatility state, and 1:2 risk-reward behavior.","trend_continuation on KOTAKBANK was inconclusive for SHORT trades in BEARISH conditions. TITAN should avoid over-learning from this record and mark it as low-confidence contextual evidence. Score=67.97, confidence=65.95.",HISTORICAL_SIMULATED,BACKTEST_SIMULATED,UNVALIDATED,False,False,False,False
15aa555bced06a796e66996e7e8037182fa512d14f63d637c161dfe7e73b8916,HCLTECH,2019-01-11,2019-01-11T09:35:00+00:00,15m,relative_strength_breakout,LONG,1762.6,1748.7,1790.5,WIN,Target touched at 2019-01-11T10:05:00+00:00; relative_strength_breakout had continuation follow-through in BULLISH regime for LONG side.,27.9,2.0,91.09,90.87,BULLISH,BULLISH,2.09,-2.15,8.9,"relative_strength_breakout simulated external historical experience for HCLTECH: trend=BULLISH, regime=BULLISH, side=LONG, volume_score=2.09, strength_score=-2.15, compression_score=8.9, score=91.09. Setup was evaluated using trend alignment, momentum quality, structure, volatility state, and 1:2 risk-reward behavior.","relative_strength_breakout on HCLTECH worked for LONG trades in BULLISH conditions. TITAN should increase simulated confidence only when similar structure, momentum, volume, and regime alignment repeat. Score=91.09, confidence=90.87. Preserve as simulated evidence until validated by live/paper outcomes.",HISTORICAL_SIMULATED,BACKTEST_SIMULATED,UNVALIDATED,False,False,False,False
b46976332ff2bff4e96f4607add53bc7eb71bb6809dfd9f5a53f0eb0d9457a06,HCLTECH,2019-01-14,2019-01-14T10:20:00+00:00,1h,compression_breakout_attempt,SHORT,1833.5,1849.2,1802.2,WIN,Target touched at 2019-01-14T12:20:00+00:00; compression_breakout_attempt had continuation follow-through in BEARISH regime for SHORT side.,31.3,2.0,79.34,77.31,BEARISH,BEARISH,3.97,1.64,7.42,"compression_breakout_attempt simulated external historical experience for HCLTECH: trend=BEARISH, regime=BEARISH, side=SHORT, volume_score=3.97, strength_score=1.64, compression_score=7.42, score=79.34. Setup was evaluated using trend alignment, momentum quality, structure, volatility state, and 1:2 risk-reward behavior.","compression_breakout_attempt on HCLTECH worked for SHORT trades in BEARISH conditions. TITAN should increase simulated confidence only when similar structure, momentum, volume, and regime alignment repeat. Score=79.34, confidence=77.31. Preserve as simulated evidence until validated by live/paper outcomes.",HISTORICAL_SIMULATED,BACKTEST_SIMULATED,UNVALIDATED,False,False,False,False
