checked_at,timestamp,scan_id,symbol,side,entry,sl,target,rr,score,rank_score,alert_sent,current_price,outcome,pnl_points,result_reason
2026-05-04 16:47:00,2026-05-04 16:42:47,20260504_164140,RELIANCE.NS,LONG,1463.1,1446.7,1495.9,2.0,3.29,24.38,True,1463.1,OPEN,0.0,LONG trade still open
2026-05-04 16:47:01,2026-05-04 16:42:47,20260504_164140,ONGC.NS,SHORT,294.0,294.5,293.0,2.0,3.23,24.24,True,,OPEN,0.0,Live price unavailable
2026-05-04 16:47:02,2026-05-04 16:42:47,20260504_164140,PFC.NS,SHORT,452.25,453.15,450.45,2.0,3.17,24.16,True,,OPEN,0.0,Live price unavailable
2026-05-04 16:47:02,2026-05-04 16:42:47,20260504_164140,HAVELLS.NS,LONG,1260.0,1255.0,1270.0,2.0,3.1,24.07,False,,OPEN,0.0,Live price unavailable
2026-05-04 16:47:03,2026-05-04 16:42:47,20260504_164140,MARICO.NS,LONG,783.5,782.7,785.1,2.0,3.12,24.06,False,,OPEN,0.0,Live price unavailable
2026-05-04 16:47:03,2026-05-04 16:42:47,20260504_164140,HAL.NS,LONG,4576.5,4564.8,4599.9,2.0,3.04,24.05,False,,OPEN,0.0,Live price unavailable
2026-05-04 16:47:04,2026-05-04 16:42:47,20260504_164140,APOLLOHOSP.NS,LONG,7753.5,7749.5,7761.5,2.0,3.1,24.02,False,,OPEN,0.0,Live price unavailable
2026-05-04 16:47:05,2026-05-04 16:42:47,20260504_164140,BAJFINANCE.NS,LONG,957.6,956.6,959.6,2.0,3.04,24.0,False,,OPEN,0.0,Live price unavailable
2026-05-04 16:47:05,2026-05-04 16:42:47,20260504_164140,DABUR.NS,SHORT,448.05,448.2,447.75,2.0,3.08,24.0,False,,OPEN,0.0,Live price unavailable
2026-05-04 16:47:06,2026-05-04 16:42:47,20260504_164140,RECLTD.NS,SHORT,357.5,357.8,356.9,2.0,3.04,23.96,False,,OPEN,0.0,Live price unavailable
2026-05-04 16:47:07,2026-05-04 16:42:47,20260504_164140,JINDALSTEL.NS,LONG,1264.4,1261.0,1271.2,2.0,3.0,23.93,False,,OPEN,0.0,Live price unavailable
2026-05-04 16:47:07,2026-05-04 16:42:47,20260504_164140,SHRIRAMFIN.NS,LONG,958.35,956.0,963.05,2.0,2.98,23.87,False,,OPEN,0.0,Live price unavailable
2026-05-04 16:47:08,2026-05-04 16:42:47,20260504_164140,CHOLAFIN.NS,LONG,1637.1,1633.8,1643.7,2.0,2.94,23.86,False,,OPEN,0.0,Live price unavailable
2026-05-04 16:47:09,2026-05-04 16:42:47,20260504_164140,ULTRACEMCO.NS,SHORT,11677.0,11705.0,11621.0,2.0,2.95,23.84,False,,OPEN,0.0,Live price unavailable
2026-05-04 16:47:09,2026-05-04 16:42:47,20260504_164140,ACC.NS,SHORT,1419.6,1424.7,1409.4,2.0,2.88,23.81,False,,OPEN,0.0,Live price unavailable
2026-05-04 16:47:10,2026-05-04 16:42:47,20260504_164140,JSWSTEEL.NS,LONG,1269.6,1268.4,1272.0,2.0,2.93,23.79,False,,OPEN,0.0,Live price unavailable
2026-05-04 16:47:10,2026-05-04 16:42:47,20260504_164140,GODREJCP.NS,SHORT,1079.1,1080.4,1076.5,2.0,2.89,23.73,False,,OPEN,0.0,Live price unavailable
2026-05-04 16:47:11,2026-05-04 16:42:47,20260504_164140,BRITANNIA.NS,LONG,5750.0,5735.0,5780.0,2.0,2.8,23.63,False,,OPEN,0.0,Live price unavailable
2026-05-04 16:47:12,2026-05-04 16:42:47,20260504_164140,INFY.NS,SHORT,1168.4,1174.8,1155.6,2.0,2.82,23.63,False,1168.4,OPEN,0.0,SHORT trade still open
2026-05-04 16:47:12,2026-05-04 16:42:47,20260504_164140,TATASTEEL.NS,SHORT,212.24,212.62,211.48,2.0,2.78,23.55,False,212.24,OPEN,0.0,SHORT trade still open
2026-05-04 16:47:13,2026-05-04 16:42:47,20260504_164140,HDFCLIFE.NS,SHORT,589.0,589.7,587.6,2.0,2.77,23.54,False,,OPEN,0.0,Live price unavailable
2026-05-04 16:47:13,2026-05-04 16:42:47,20260504_164140,TCS.NS,SHORT,2431.3,2436.7,2420.5,2.0,2.71,23.48,False,2431.3,OPEN,0.0,SHORT trade still open
2026-05-04 16:47:14,2026-05-04 16:42:47,20260504_164140,M&M.NS,SHORT,3105.7,3111.5,3094.1,2.0,2.67,23.44,False,,OPEN,0.0,Live price unavailable
2026-05-04 16:47:14,2026-05-04 16:42:47,20260504_164140,ABB.NS,LONG,7279.5,7264.5,7309.5,2.0,2.67,23.43,False,,OPEN,0.0,Live price unavailable
2026-05-04 16:47:15,2026-05-04 16:42:47,20260504_164140,TECHM.NS,LONG,1461.2,1459.2,1465.2,2.0,2.63,23.38,False,,OPEN,0.0,Live price unavailable
2026-05-04 16:47:16,2026-05-04 16:42:47,20260504_164140,HDFCAMC.NS,SHORT,2734.8,2739.2,2726.0,2.0,2.62,23.32,False,,OPEN,0.0,Live price unavailable
2026-05-04 16:47:16,2026-05-04 16:42:47,20260504_164140,TITAN.NS,SHORT,4368.5,4375.2,4355.1,2.0,2.61,23.31,False,,OPEN,0.0,Live price unavailable
2026-05-04 16:47:17,2026-05-04 16:42:47,20260504_164140,BANKBARODA.NS,LONG,267.65,267.15,268.65,2.0,2.57,23.26,False,,OPEN,0.0,Live price unavailable
2026-05-04 16:47:17,2026-05-04 16:42:47,20260504_164140,SIEMENS.NS,LONG,3886.4,3874.3,3910.6,2.0,2.53,23.25,False,,OPEN,0.0,Live price unavailable
2026-05-04 16:47:18,2026-05-04 16:42:47,20260504_164140,INDIGO.NS,SHORT,4287.7,4292.2,4278.7,2.0,2.55,23.22,False,,OPEN,0.0,Live price unavailable
2026-05-04 16:47:18,2026-05-04 16:42:47,20260504_164140,PIIND.NS,SHORT,3059.4,3065.2,3047.8,2.0,2.28,22.86,False,,OPEN,0.0,Live price unavailable
2026-05-04 16:47:19,2026-05-04 16:42:47,20260504_164140,TRENT.NS,SHORT,4093.3,4101.4,4077.1,2.0,2.21,22.74,False,,OPEN,0.0,Live price unavailable
2026-05-04 16:47:19,2026-05-04 16:42:47,20260504_164140,BHARTIARTL.NS,SHORT,1827.1,1843.3,1794.7,2.0,2.19,22.73,False,1827.1,OPEN,0.0,SHORT trade still open
2026-05-04 16:47:20,2026-05-04 16:42:47,20260504_164140,HEROMOTOCO.NS,SHORT,5076.0,5085.0,5058.0,2.0,2.07,22.58,False,,OPEN,0.0,Live price unavailable
2026-05-04 16:47:21,2026-05-04 16:42:47,20260504_164140,BAJAJ-AUTO.NS,LONG,10144.5,10120.0,10193.5,2.0,2.02,22.48,False,,OPEN,0.0,Live price unavailable
2026-05-04 16:47:21,2026-05-04 16:42:47,20260504_164140,BAJAJHLDNG.NS,LONG,10443.0,10412.0,10505.0,2.0,1.89,22.29,False,,OPEN,0.0,Live price unavailable
2026-05-04 16:53:02,2026-05-04 16:53:01,20260504_165154,RELIANCE.NS,LONG,1463.1,1446.7,1495.9,2.0,3.29,23.29,True,1463.1,OPEN,0.0,LONG trade still open
2026-05-04 16:53:02,2026-05-04 16:53:01,20260504_165154,ONGC.NS,SHORT,294.0,294.5,293.0,2.0,3.23,23.23,True,,OPEN,0.0,Live price unavailable
2026-05-04 16:53:03,2026-05-04 16:53:01,20260504_165154,PFC.NS,SHORT,452.25,453.15,450.45,2.0,3.17,23.17,True,,OPEN,0.0,Live price unavailable
2026-05-04 16:53:03,2026-05-04 16:53:01,20260504_165154,MARICO.NS,LONG,783.5,782.7,785.1,2.0,3.12,23.12,False,,OPEN,0.0,Live price unavailable
2026-05-04 16:53:04,2026-05-04 16:53:01,20260504_165154,APOLLOHOSP.NS,LONG,7753.5,7749.5,7761.5,2.0,3.1,23.1,False,,OPEN,0.0,Live price unavailable
2026-05-04 16:53:04,2026-05-04 16:53:01,20260504_165154,HAVELLS.NS,LONG,1260.0,1255.0,1270.0,2.0,3.1,23.1,False,,OPEN,0.0,Live price unavailable
2026-05-04 16:53:05,2026-05-04 16:53:01,20260504_165154,DABUR.NS,SHORT,448.05,448.2,447.75,2.0,3.08,23.08,False,,OPEN,0.0,Live price unavailable
2026-05-04 16:53:06,2026-05-04 16:53:01,20260504_165154,BAJFINANCE.NS,LONG,957.6,956.6,959.6,2.0,3.04,23.04,False,,OPEN,0.0,Live price unavailable
2026-05-04 16:53:06,2026-05-04 16:53:01,20260504_165154,HAL.NS,LONG,4576.5,4564.8,4599.9,2.0,3.04,23.04,False,,OPEN,0.0,Live price unavailable
2026-05-04 16:53:07,2026-05-04 16:53:01,20260504_165154,RECLTD.NS,SHORT,357.5,357.8,356.9,2.0,3.04,23.04,False,,OPEN,0.0,Live price unavailable
2026-05-04 16:53:07,2026-05-04 16:53:01,20260504_165154,JINDALSTEL.NS,LONG,1264.4,1261.0,1271.2,2.0,3.0,23.0,False,,OPEN,0.0,Live price unavailable
2026-05-04 16:53:08,2026-05-04 16:53:01,20260504_165154,SHRIRAMFIN.NS,LONG,958.35,956.0,963.05,2.0,2.98,22.98,False,,OPEN,0.0,Live price unavailable
2026-05-04 16:53:09,2026-05-04 16:53:01,20260504_165154,ULTRACEMCO.NS,SHORT,11677.0,11705.0,11621.0,2.0,2.95,22.95,False,,OPEN,0.0,Live price unavailable
2026-05-04 16:53:09,2026-05-04 16:53:01,20260504_165154,CHOLAFIN.NS,LONG,1637.1,1633.8,1643.7,2.0,2.94,22.94,False,,OPEN,0.0,Live price unavailable
